Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd,GDP_2022,date,Total_confirmed_cases,Total_new_deceased,Total_new_vaccinations,New_persons_fully_vaccinated,Investment_in_vaccines,Total_tested,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-16,1783,13,3743,946,0,8604,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-17,1702,11,5167,523,0,7705,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-18,1751,11,6635,1063,0,8506,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-19,1252,7,6444,2465,0,7031,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-20,1375,10,2221,175,0,6769,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-21,993,12,1322,92,0,4794,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-22,1063,14,1951,647,0,6224,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-23,1556,13,2745,325,0,7266,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-24,1432,11,5246,512,0,7260,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-25,1152,0,8484,1762,0,5877,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-26,1151,0,5810,1020,0,7734,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-27,894,32,2130,303,0,4389,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-28,585,17,486,88,0,3309,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-29,1204,6,1941,494,0,6586,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-30,1019,6,2587,1135,0,5436,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-03-31,1114,14,4459,1785,0,6402,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-01,913,9,7986,4308,0,5902,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-02,524,10,3552,493,0,3052,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-03,490,9,7795,907,0,3640,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-04,397,14,4009,259,0,3292,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-05,922,12,2506,1118,0,5865,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-06,996,14,2474,1198,0,6420,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-07,771,16,4893,1238,0,5075,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-08,685,14,11630,1632,0,5853,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-09,648,0,9568,1275,0,5587,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-10,451,17,1221,444,0,3692,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-11,277,12,285,54,0,2893,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-12,648,8,1468,470,0,5979,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-13,559,7,2282,647,0,5245,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-14,579,6,5343,2037,0,5637,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-15,488,12,9308,3427,0,5399,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-16,340,10,8221,3577,0,5384,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-17,547,8,1324,779,0,6760,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-18,235,4,975,466,0,2949,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-19,543,5,1240,1418,0,6195,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-20,482,11,1937,2368,0,4529,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-21,445,6,4284,1006,0,5880,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-22,399,11,8201,3675,0,5294,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-23,392,6,5691,3391,0,4618,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-24,217,0,865,2237,0,3588,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-25,169,5,1208,1245,0,2027,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-26,478,0,1453,1835,0,5190,2,3,2,4
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-27,403,0,3483,3418,0,4835,2,3,2,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-28,429,10,6645,4841,0,4371,2,3,2,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-29,369,8,8216,6952,0,4722,2,3,2,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-04-30,413,2,5618,6523,0,4812,2,3,2,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-01,177,4,951,2107,0,3112,2,3,2,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-02,178,5,1560,996,0,2923,2,3,2,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-03,406,6,2325,3569,0,5396,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-04,429,4,4960,3960,0,4881,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-05,367,6,7263,6166,0,4412,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-06,386,2,8609,9460,0,4931,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-07,352,6,6272,7908,0,4879,2,2,1,3
Estonia,EST,1324820,45340,30.4,916024,23246,30796765720,2021-05-08,157,3,3060,2621,0,3185,2,2,1,3
